,TOTAL_SECONDS_E,TOTAL_SECONDS_S,ESTACAO_E_m,ESTACAO_S_m
91,45436,45779,MP,SA
92,68170,68858,CM,RB
93,29679,30407,CG,MP
94,60269,61347,CS,MP
95,49934,51226,AH,MP
96,41804,42067,CP,EC
97,30917,32501,CG,LA
98,61092,61631,BV,OR
99,69282,69978,BC,JZ
100,66226,66950,CG,SR
101,44190,45016,JZ,BC
102,88692,90487,AP,SA
103,51644,52061,AN,RO
104,26431,28394,SP,CM
105,45058,45621,SA,EC
106,56349,57057,BC,IN
107,57219,59383,MP,OD
108,37678,38310,AM,RO
109,38370,38744,OR,OL
110,42398,43177,JZ,RE
111,30110,31636,OD,MP
112,43900,44426,CG,AE
113,64731,65725,SA,CU
114,59190,60592,EC,AX
115,64058,64676,AV,CS
116,28660,29014,AN,RO
117,65633,67028,CU,MM
118,26206,26857,CG,PI
119,58220,59140,CS,AM
120,79589,80083,SA,EC
121,72714,73298,EC,LU
122,36777,37626,PO,SS
123,65417,66039,SP,BC
124,69895,70608,QC,AL
125,64641,64884,EC,CU
126,61268,62132,MP,CS
127,43473,45242,MO,CG
128,51444,51915,PA,RE
129,56615,57969,MP,OR
130,39917,40975,AM,BC
131,28012,28929,OD,CU
132,33037,34018,TP,CP
133,81825,83748,CS,OL
134,42450,42919,CU,EC
135,81544,82581,BC,AN
136,37749,38120,LA,CM
137,79904,81248,CM,PO
138,67629,68306,IN,CS
139,49131,50554,CG,CS
140,37680,38491,OD,AX
141,25339,27171,OR,MP
142,59058,60088,AL,RO
143,69300,69814,SS,AM
144,66102,66518,SS,JZ
145,29558,30119,CS,BC
146,42399,43377,RE,CS
147,69448,70883,RA,TE
148,70483,71423,SS,PO
149,62967,63440,RB,PO
150,56456,57184,AE,MM
151,54019,54440,CP,EC
152,29257,29636,RE,AV
153,33890,34418,PE,AV
154,48875,49494,BV,OR
155,50970,52329,CP,JZ
156,51992,53461,LU,MP
157,29200,30259,AH,SA
158,57986,59182,OR,AN
159,64175,65947,CH,MP
160,69767,71854,PE,OD
161,62108,62622,MP,EC
162,32900,33970,MP,PO
163,68603,68929,LA,CA
164,66265,68687,SA,MO
165,32164,32591,TP,RE
166,64584,65370,CS,AM
167,61954,62729,SS,JZ
168,63547,63980,MP,CP
169,48332,48815,AM,AL
170,29823,31891,OD,CH
171,39589,40042,JZ,CM
172,35046,36368,AS,SA
173,60062,60445,RE,MP
174,60346,61524,BC,CG
175,49734,50046,BC,MM
176,58426,59779,SP,SS
177,43498,45284,SS,SR
178,30006,30762,AF,JZ
179,69243,71524,CM,SR
180,77889,79260,BC,JZ
181,52056,53685,CS,EC
182,29200,29786,TP,MP
183,75473,76607,CP,OD
184,88109,89917,CM,SP
185,66596,66964,EC,CG
186,62876,63998,CU,BV
187,63503,65354,EC,CM
188,34361,35916,BV,CM
189,30664,32395,OD,RE
190,61057,61356,AE,AL
191,71784,72396,PA,JZ
192,35277,36709,SP,CM
193,42583,43736,OR,AM
194,31606,32449,LU,SA
195,58057,58864,MO,CH
196,46637,47372,AP,OR
197,64228,64963,AL,AE
198,48184,49732,AH,SP
199,44388,46331,CG,RO
200,85671,87651,AP,IN
201,24299,25914,RB,MP
202,43112,43790,OL,SA
203,66651,66999,MP,RE
204,68578,69759,MP,PO
205,28626,29832,CS,OS
206,73476,75181,PI,OR
207,52556,52922,CP,PI
208,52598,54916,BC,OL
209,48991,49805,AM,SS
210,31596,32211,RM,TE
211,26795,28493,SS,AP
212,23220,24460,OS,MO
213,26567,27014,JZ,LA
214,65016,66054,AM,EC
215,31799,32246,CG,EC
216,37978,39161,TE,RO
217,84897,87014,OR,CG
218,70293,71216,OR,AM
219,42547,44075,AP,SA
220,29292,30596,SP,MP
221,66965,69128,OR,TP
222,54679,56231,OR,CG
223,31463,32375,OD,AL
224,49214,50641,CG,SS
225,86930,88177,CS,AN
226,32233,32645,EC,SA
227,33143,33756,RE,PA
228,80832,82041,SS,CR
229,34720,34974,MP,PI
230,68641,69818,MP,AX
231,68972,70191,MP,CG
232,48645,49841,PI,CS
233,64228,65509,CM,TP
234,31306,32718,MO,SS
235,47211,47967,SA,RA
236,66980,67456,QC,EC
237,46937,47893,AN,CG
238,69989,71243,BC,CG
239,63457,63991,AN,RM
240,35468,36281,CG,IN
241,32079,33055,CG,RO
242,48953,49562,PO,JZ
243,31824,32521,IN,RM
244,58799,60171,SA,MO
245,52668,53306,CH,OR
246,66252,67228,PE,BC
247,61430,62240,AN,CS
248,32435,33203,OR,AP
249,74248,74811,CS,AN
250,46310,47738,RA,AF
251,53013,53427,BC,AN
252,59252,60662,EC,TE
253,28426,29045,PO,JZ
254,41019,41750,MP,LA
255,82631,84582,OD,CS
256,62955,63623,CM,RB
257,70729,71093,RO,CS
258,74486,74695,CU,CG
259,52503,53850,OR,CP
260,41761,43309,AM,OD
261,44359,44836,CP,RA
262,40442,40980,SA,RA
263,29594,32015,AP,TP
264,55090,56390,AV,PO
265,76715,77704,AH,BC
266,64438,65850,PI,OD
267,55789,58009,CS,OR
268,45213,45850,MP,LA
269,71155,71737,MP,JZ
270,45006,46380,AF,SS
271,27743,29175,PO,RA
272,31216,32773,CS,OR
273,34484,34971,CM,PE
274,30938,31447,AF,RB
275,63834,64562,CS,RO
276,29743,30896,CS,CG
277,25942,27010,MM,CG
278,47006,48225,BC,CP
279,60477,61854,SR,MP
280,61374,61815,SS,RE
281,68036,68997,CS,PA
282,34355,35476,MO,AM
283,30414,31804,MO,SA
284,70978,71655,CS,AM
285,27295,28659,OR,RO
286,52008,52589,MM,AE
287,58358,59096,RM,RO
288,28325,29652,OL,MP
289,28779,29312,EC,QC
290,30497,31833,OD,MP
291,48579,49378,CG,CP
292,59856,60750,AM,AL
293,67628,68890,SS,MO
294,27463,27767,EC,CU
295,67899,69069,CM,TP
296,72039,72604,MP,EC
297,68515,69654,MM,CG
298,72481,73461,BC,AL
299,67449,68512,AM,OR
300,30836,33084,AF,CU
301,80825,82126,CU,AM
302,30296,30942,CP,LU
303,58069,59120,TE,AN
304,62083,62795,EN,OR
305,68099,68664,CG,OD
306,52568,52972,AM,AN
307,70924,71302,OS,CH
308,54762,55684,AN,CS
309,28199,28923,AS,LA
310,31080,32592,RB,MP
311,26442,26886,TP,SP
312,53065,54548,PE,CS
313,45661,46408,JZ,SS
314,64059,65336,TP,CM
315,37348,38618,PI,BC
316,67748,69752,MO,AH
317,52006,54148,LU,TP
318,65801,66217,CP,MP
319,65535,66145,LU,EC
320,62113,63311,PI,SR
321,41672,42150,MM,CS
322,34300,34956,CG,OD
323,33684,34298,EN,OR
324,55660,58461,CM,AX
325,61271,62529,SS,OR
326,60927,61456,SS,RE
327,29077,30656,JZ,AN
328,51025,51418,CU,EC
329,27730,29029,AF,MP
330,55297,55985,TP,MP
331,69442,69738,OR,OL
332,25906,26579,CG,SA
333,79580,80278,BV,OR
334,69800,71847,MO,LU
335,30537,31443,AX,AL
336,55333,55876,SA,CU
337,66451,67555,CR,AP
338,40268,41056,SR,EC
339,61203,62118,RA,CG
340,68583,69326,OR,OL
341,36418,38267,IN,AP
342,45560,46075,RB,AF
343,46929,47878,MP,CG
344,48582,49388,AP,OR
345,49937,50550,AL,IN
346,52742,53372,RO,IN
347,64907,67026,CS,OD
348,68510,69142,SA,CG
349,60834,62413,BC,AF
350,40515,40907,QC,CU
351,51028,53624,CM,EN
352,48221,48986,CU,RA
353,29882,30523,PO,AH
354,33683,34707,IN,MP
355,75744,76919,SA,OR
356,26483,28066,OD,SA
357,52130,53453,OD,MP
358,66802,67961,AM,OR
359,57983,59715,SP,AH
360,49133,49561,BC,AN
361,58804,60705,OS,SR
362,27300,27771,AM,AN
363,48947,50778,JZ,OR
364,53758,54836,AM,CS
365,75399,75862,SP,BC
366,38786,39167,MP,RE
367,81381,83127,CG,CS
368,66657,67962,MP,CG
369,56020,58920,BC,OR
370,38522,39659,RE,SS
371,43545,44088,CH,OL
372,33438,35001,TE,BV
373,34118,35442,JZ,CH
374,44982,46338,LA,BC
375,72760,73865,BC,LA
376,68384,68808,MP,SA
377,30873,31034,EC,CU
378,76792,78142,BC,CP
379,63457,64601,TE,RA
380,71034,71551,LA,JZ
381,29981,30780,JZ,MP
382,73952,74691,AE,RO
383,28540,29828,CG,CS
384,65768,66179,RB,PO
385,41541,43553,CM,EC
386,51178,53679,OD,CM
387,65358,66620,MP,PO
388,32842,33771,CS,RM
389,32605,34124,SR,RA
390,78065,78787,RO,AM
391,70052,70813,PE,AF
392,45801,47407,OR,CU
393,30440,31611,TP,RA
394,42107,42622,AH,JZ
395,58118,58670,CG,EC
396,63820,65633,RA,AF
397,40656,41869,AM,RA
398,48308,49018,OR,SA
399,42561,43085,AN,RO
400,26595,27028,CG,EC
401,36379,36935,MP,SS
402,34820,35316,CS,RE
403,54537,55746,CG,SS
404,54225,54806,SA,CU
405,66347,67714,TP,JZ
406,69290,70014,MP,CS
407,69423,69951,EC,LU
408,53236,54558,AS,SS
409,80108,82873,AP,PO
410,34545,36250,RB,SA
411,67472,68014,BC,SS
412,67605,69179,CG,OL
413,61686,61942,CP,PI
414,42922,45272,CH,SR
415,77286,78057,JZ,CM
416,65468,66663,AL,CS
417,35356,36238,SA,RE
418,80107,80791,EC,CG
419,69926,70549,MP,CU
420,59919,60426,EC,MP
421,61788,61975,AL,RM
422,33346,34408,OD,SA
423,83341,85140,CU,TP
424,34797,35714,LU,PI
425,26155,26813,EC,CU
426,57563,57764,AL,RM
427,24580,25752,OD,TE
428,83437,85149,AV,TE
429,35564,36633,CM,RA
430,27172,27884,SP,MP
431,62190,64335,EC,CM
432,49678,50169,TP,RE
433,62968,64742,OR,CS
434,52041,52862,PI,CG
435,40796,41177,CM,JZ
436,30666,31945,OD,AM
437,70043,70474,MP,RE
438,52406,53173,BC,AM
439,54011,54712,PE,MP
440,25807,26772,SR,CG
441,47283,47890,OR,CH
442,71725,72909,LA,CS
443,63205,64790,CS,PO
444,33739,34607,JZ,BC
445,51341,53322,CG,OR
446,67789,68357,AE,AN
447,48593,49074,JZ,CM
448,28398,28835,CG,EC
449,85640,86483,SA,RA
450,32088,32999,MO,SA
451,37511,38536,SA,OL
452,66096,66618,MP,AV
453,57460,58271,AM,MM
454,31224,31615,CM,JZ
455,39438,40096,MP,AV
456,72807,74189,OR,RO
457,60861,61201,PI,CP
458,46906,48457,MP,LU
459,43375,44530,QC,AM
460,48642,50221,RO,OL
461,42434,44091,AV,CR
462,40490,41076,EC,PI
463,83310,83818,BC,AN
464,56881,57302,AN,BC
465,81987,83081,RE,CP
466,51391,52100,RM,RO
467,32159,33462,TP,CU
468,39581,40348,MM,AE
469,33551,35031,CS,CG
470,68995,69589,RO,CS
471,31666,32633,CG,MP
472,24119,26050,PO,CP
473,66817,68381,MO,RM
474,61075,61803,AN,AL
475,30707,32299,TE,CS
476,50889,52178,CS,CG
477,55715,56685,AM,CS
478,48466,49448,CP,SR
479,41831,42338,EC,SA
480,61790,62587,CM,SS
481,56527,56829,CM,PO
482,76983,78101,CM,RE
483,44256,44751,OR,MO
484,50291,50514,CM,AH
485,47398,47937,PI,CP
486,79568,79917,OR,MO
487,51935,52417,BC,MP
488,70888,71920,CU,OS
489,25429,27319,AF,BV
490,58649,59476,MP,CG
491,30456,31104,AM,OL
492,65217,66237,CS,AM
493,36679,38284,PA,OR
494,30524,31174,JZ,PO
495,31207,32504,AS,MP
496,33373,33565,QC,CG
497,57571,58311,EC,MP
498,28258,29995,CS,CH
499,86013,87703,OL,LU
500,26487,27593,CG,RA
501,35954,37203,SR,PI
502,77903,78955,SS,CH
503,42570,42976,EC,CG
504,66095,67032,AV,SP
505,56825,57453,AM,TE
506,67840,68507,PO,RB
507,32741,33171,MP,EC
508,67428,68697,CR,SS
509,55891,56401,TE,CG
510,28670,29812,TE,MP
511,48362,48854,CM,PE
512,37009,37475,MP,AV
513,66238,66705,BC,AV
514,83044,84139,SA,LU
515,60743,62439,TP,CM
516,54589,56604,PE,OD
517,23215,25203,CM,SP
518,63283,64087,CP,SS
519,67041,67341,EC,SA
520,34572,36065,CS,BV
521,32710,33698,CS,SS
522,58587,59143,CU,CG
523,61630,63931,CH,RB
524,58501,59098,PE,LA
525,44788,45610,PO,JZ
526,31916,32755,SS,OR
527,35373,35547,EC,CU
528,72703,74059,SS,OR
529,45030,46441,OR,BC
530,63884,66403,AP,CM
531,33432,33942,SR,CG
532,54222,54892,EC,LU
533,36150,37427,CU,MM
534,30768,31731,SP,MP
535,61240,62540,SS,OR
536,76365,77800,SA,OD
537,82860,83936,CG,AE
538,34302,34619,RO,IN
539,31183,31727,OD,CG
540,69895,70200,MP,RE
541,66923,67138,CU,CG
542,30647,31489,PO,SS
543,67472,67970,PO,CM
544,51273,51767,CP,MP
545,43372,43907,AM,RM
546,37255,37454,CG,CU
547,29139,29790,AX,EC
548,68942,69165,CP,EC
549,53102,54164,SS,TP
550,80123,81426,PA,PO
551,56301,57084,RA,EC
552,59222,59775,EC,RA
553,29074,29702,AN,RM
554,57243,57947,CH,OR
555,29697,30171,EC,MP
556,65399,66336,JZ,RA
557,51546,52379,CG,MP
558,30236,31214,CM,MP
559,29884,31039,AS,SS
560,60895,61469,IN,RO
561,34946,35284,LU,CG
562,61985,63996,CM,OR
563,28174,29419,OL,SA
564,66367,66920,RA,SA
565,69521,70768,SS,CS
566,53046,53917,OL,SA
567,32548,33049,EC,CG
568,71611,72676,LU,SA
569,28904,30613,PO,AM
570,38110,38268,MM,RO
571,69448,71099,MO,CS
572,33150,34565,OR,RA
573,32014,32957,CS,AE
574,76632,77296,CP,AM
575,43454,44612,AV,MM
576,30423,30777,IN,RO
577,32387,33851,AN,CR
578,63059,64358,PI,OR
579,28298,28749,OR,CH
580,79672,80872,AM,RA
581,59907,60842,MP,CG
582,76041,76665,MP,TP
583,62897,63342,EC,CG
584,47420,47965,AV,SS
585,61567,63056,MP,AL
586,57607,58165,AM,IN
587,32624,33609,CM,MP
588,54855,55379,RE,MP
589,68949,69586,MP,JZ
590,29842,30524,OD,CG
591,38843,39826,AM,CU
592,72475,72993,RE,AV
593,30584,31053,EC,CG
594,33568,34412,MP,CG
595,65106,66056,MP,AN
596,52069,53352,AF,MP
597,68079,69262,MP,IN
598,64118,64484,CG,EC
599,41425,42063,RO,AE
600,60605,62220,EC,RO
601,69316,69853,PO,JZ
602,27038,27812,RA,CU
603,72368,72917,CP,AM
604,32105,32783,SP,MP
605,63879,65359,CS,SS
606,57641,58419,PE,CM
607,35523,36020,MP,CP
608,47788,48982,OS,EN
609,78435,78871,MM,CS
610,65920,67759,CU,SP
611,67910,68699,AM,SS
612,61933,62099,CH,BV
613,43818,44299,AF,AS
614,64169,65003,QC,MP
615,61262,61873,BC,SS
616,46120,46434,CG,QC
617,58984,60728,SP,LU
618,33377,34072,AM,MM
619,86120,86770,JZ,CA
620,71597,72091,AF,CM
621,28850,30004,LU,AM
622,72692,74728,CM,CG
623,83522,84647,RA,CH
624,41527,41886,EC,CU
625,66718,68801,OR,RA
626,35815,36043,MP,PI
627,48491,50135,CS,CU
628,65609,66227,AM,CS
629,33910,35469,CG,CS
630,75620,76373,RE,PE
631,55837,56862,TP,CU
632,34950,36410,CH,JZ
633,64861,65643,BC,PE
634,32583,33876,CH,AL
635,39763,40404,CM,JZ
636,37573,38408,AN,BC
637,28730,29177,EC,CG
638,36238,36581,JZ,AH
639,56729,57344,AM,CG
640,43312,44533,AH,AM
641,65317,65888,OR,SA
642,58537,59505,SS,PO
643,59113,60085,SA,BV
644,33675,34260,AN,BC
645,24367,24887,EC,SA
646,54670,55838,CS,BV
647,45107,45785,LU,CG
648,33452,34314,TP,SS
649,63972,64518,MP,CP
650,75151,75938,MP,RE
651,42514,43720,AL,SS
652,46387,46999,CH,OR
653,35489,37253,JZ,QC
654,39298,39661,RM,AL
655,48653,50471,OD,SA
656,67091,68132,CH,MO
657,67118,68050,CG,SR
658,52986,53600,RA,EC
659,40450,40796,SS,MP
660,32760,33422,EC,SA
661,61694,62789,PA,CS
662,32243,32716,JZ,CM
663,47001,47590,RE,TP
664,71913,73462,EC,OD
665,47873,49530,MP,SR
666,53023,53589,PI,EC
667,29184,30357,OD,SA
668,64282,64888,CM,AS
669,29186,29608,JZ,AH
670,76352,77602,CS,AL
671,71383,71694,AF,RB
672,62290,63157,SA,OS
673,57381,57599,EC,CU
674,31793,32465,PO,RB
675,71248,71480,SA,EC
676,29709,30696,CG,RA
677,36911,39826,OD,OR
678,62806,63900,PI,AL
679,64790,65804,CP,OD
680,59806,61823,MM,MO
681,62969,63661,AM,PI
682,33298,33827,SS,BC
683,27049,28561,CM,SA
684,65520,66927,IN,OR
685,52398,53503,CM,RE
686,48674,49055,BC,CS
687,39486,39969,EC,CG
688,76960,77872,BC,AM
689,28649,29489,AS,LA
690,59500,60399,CM,SS
691,35885,38289,MP,AP
692,25981,27039,AX,EC
693,53871,54670,EC,RA
694,49143,50535,CM,SP
695,61197,61863,BC,TP
696,67782,68829,LA,TP
697,29723,30277,JZ,SS
698,24654,25494,JZ,MP
699,29009,29564,LU,OD
700,26262,27908,OR,CG
701,32214,32970,CS,SP
702,54504,55394,CS,AM
703,88399,90231,BC,AS
704,36010,36566,CM,JZ
705,26248,26894,EC,RA
706,36986,37376,RO,CS
707,65982,66551,SA,CP
708,69253,71564,CS,MO
709,32135,33335,JZ,RE
710,66467,67385,CG,RA
711,55477,57036,MP,LU
712,50104,50672,CG,AX
713,32969,33311,EC,CU
714,58827,60030,CU,OD
715,46273,47050,MM,CS
716,39827,40888,RA,JZ
717,60988,61859,MP,CS
718,59244,59988,OS,OR
719,86153,86725,SR,LU
720,64319,65698,RB,MP
721,76508,78754,RB,OS
722,25000,26120,LU,RA
723,63965,64323,CU,EC
724,68950,69671,AM,AE
725,55147,56924,AP,SA
726,29007,31558,AF,RA
727,62575,63631,SS,AM
728,33294,35582,RE,AP
729,65797,66399,CM,AS
730,36733,36923,AN,IN
731,60329,60799,CP,CG
732,53292,54922,CR,MM
733,58536,60787,RO,OD
734,62968,63841,RO,TP
735,27255,27715,TE,CU
736,72760,73333,MP,SP
737,54582,54786,CU,EC
738,39428,40870,OD,MP
739,27759,29572,RB,BC
740,25355,25756,JZ,SS
741,59666,61061,AM,OD
742,61434,61938,RO,AM
743,70138,70542,AN,RO
744,44387,44678,TP,BC
745,58737,59605,RM,CS
746,32792,33096,PO,CM
747,50725,51259,BC,MM
748,76646,77752,EC,SR
749,30467,31328,EC,MP
750,65745,66180,SA,EC
751,63046,63537,SA,CG
752,44471,45611,AM,EC
753,39362,39814,AS,PO
754,54704,55266,BV,SS
755,60964,61636,AM,CS
756,41921,44070,IN,AP
757,69592,69997,AL,CG
758,50491,51661,AL,OD
759,33639,34421,AM,CU
760,48364,49691,MM,SA
761,31266,31955,TE,AM
762,71059,72673,MM,OD
763,67906,68759,CM,MP
764,70439,71511,EC,SR
765,49768,50585,SP,RE
766,34893,35600,PA,BC
767,57823,58195,BC,TP
768,48483,49540,TE,OD
769,75121,75621,BC,CS
770,57577,59239,CU,CS
771,63491,64358,CP,SR
772,84038,84559,RO,AN
773,70478,71178,PI,CG
774,43081,43624,BC,AV
775,54051,55062,CM,SS
776,75036,75940,MM,AV
777,64456,65178,RB,CM
778,27957,28853,CG,RA
779,74318,74885,AS,PO
780,43962,45343,SA,OD
781,35745,36787,MP,QC
782,62584,63616,SP,CS
783,71320,72266,CM,MP
784,46261,46751,TP,MP
785,62769,64708,OD,CS
786,36454,37657,OR,AP
787,62199,63233,RE,CM
788,53519,54192,SA,SS
789,87067,87891,CG,SA
790,68346,69173,SP,MM
791,58303,59877,RB,BC
792,52273,53074,QC,OD
793,58937,59978,CP,OR
794,26499,27576,OR,OS
795,63816,64664,AM,CG
796,27195,28656,TP,CA
797,63255,63984,CH,SA
798,37699,38355,BC,RO
799,62526,63533,SS,CS
800,62855,63823,SR,EC
801,67977,69008,TP,SA
802,61871,62755,MP,JZ
803,74879,75188,JZ,LA
804,52049,52858,AM,OR
805,29637,30868,PO,MP
806,35290,36488,OR,CP
807,55013,57156,AL,PO
808,39954,40871,AE,RO
809,39128,39509,IN,BC
810,57724,59108,SS,TP
811,36663,37623,CG,SA
812,27826,28217,AM,SA
813,56782,57474,CS,RE
814,68948,71141,CH,CS
815,61460,62077,PI,CG
816,62712,63409,AS,CM
817,31046,32884,MO,MP
818,59871,60241,EC,SA
819,58010,59343,RA,BC
820,78616,79079,TP,RE
821,69495,70554,PE,SP
822,78960,79622,MP,JZ
823,58279,58838,EC,CG
824,30377,31929,MO,RA
825,44603,45330,AP,OR
826,34954,35616,RE,CS
827,30661,31244,AE,IN
828,50074,50887,MO,CH
829,59762,61885,MM,MO
830,42943,43457,EC,SA
831,42143,43040,CG,CP
832,75425,77505,RO,OR
833,30605,31663,OD,AL
834,64877,67120,OR,BC
835,37652,38145,LA,SS
836,67490,68281,JZ,MP
837,29992,31339,AX,MP
838,53510,54033,CP,MP
839,69801,70579,RB,AH
840,59582,59966,PI,EC
841,68553,69499,SA,OR
842,69060,70284,SA,OD
843,87634,89198,TE,OD
844,65918,66667,PI,CU
845,80829,81959,SS,CP
846,59609,60035,MP,SS
847,61484,62005,AL,CG
848,43696,44059,CU,EC
849,55947,56331,BC,CS
850,30252,30915,JZ,AV
851,48051,49010,PI,CG
852,63735,64633,MP,CG
853,62032,62994,AL,AX
854,48064,48675,AH,SS
855,29147,30167,TP,JZ
856,27648,29495,AF,OR
857,26441,27948,OD,MP
858,66465,68253,BC,PO
859,30927,32295,SP,AH
860,44991,45633,AE,BC
861,65250,65875,QC,EC
862,46619,46997,IN,RO
863,69586,70500,CG,SS
864,49443,49883,SA,CU
865,67147,67696,RO,CS
866,41279,42996,MO,MM
867,71604,73462,MP,OD
868,23243,24000,PO,RB
869,37130,38344,CU,CH
870,44256,46030,OD,BC
871,38346,39695,CG,TP
872,33965,35155,EN,SA
873,43928,44675,MP,CS
874,31628,32785,OD,CP
875,49274,50717,BC,CU
876,37062,39293,BC,OR
877,25223,27627,OD,CR
878,81686,82469,AV,JZ
879,57845,58575,RA,EC
880,77120,78066,CP,MP
881,73795,74733,SA,CG
882,32394,33970,LU,CH
883,64936,65377,SS,JZ
884,53653,54889,SS,CG
885,58684,59881,OD,CU
886,26429,27979,CM,CS
887,61893,63145,SS,CM
888,52704,53275,CG,CP
889,54683,55250,MM,CS
890,56132,56699,SA,RA
891,37262,38990,CM,CH
892,31286,32278,OR,SS
893,23956,25774,SR,PI
894,60412,61760,IN,MO
895,47273,47671,RO,CS
896,31751,32260,EC,PI
897,26325,27289,SP,CS
898,47984,49012,AL,OS
899,55902,57004,BC,CG
900,32909,34170,OD,CP
901,31223,32299,JZ,CP
902,47177,47735,AN,OS
903,48718,49371,RE,JZ
904,67213,67659,SS,JZ
905,57262,57764,JZ,MP
906,55843,57100,BV,RA
907,67041,67884,CS,AN
908,30353,31190,CG,AN
909,30723,32721,CG,CM
910,81388,82551,RO,AN
911,64980,66201,PE,SP
912,32547,33137,SP,BC
913,33960,35538,EN,SS
914,45697,46532,RO,AL
915,46234,47114,TP,SA
916,49065,50452,CG,BC
917,31163,32621,OD,MP
918,28592,29549,LU,PI
919,61068,62099,EC,OD
920,57264,58899,CU,CS
921,69495,70403,CG,RA
922,31928,33509,LU,SS
923,59502,59836,EC,CU
924,28990,30457,SR,PI
925,30001,31108,OD,CP
926,81070,81821,MM,AM
927,48200,49047,AN,CS
928,72586,73631,CP,OD
929,71914,73317,OD,MP
930,35172,35610,AM,IN
931,68490,68877,AS,RB
932,27477,27684,CG,CU
933,28570,29650,SR,SA
934,73132,74577,CS,OL
935,38494,39015,RE,BC
936,60242,62042,RE,SR
937,66204,67356,AL,SR
938,70704,71490,SA,CR
939,40404,41037,SP,RE
940,29449,30832,OL,AV
941,82247,83822,RM,CS
942,33122,33814,AM,TE
943,25403,27731,AF,OR
944,29793,30804,CS,PI
945,44381,46880,AP,BC
946,48802,49715,OL,SA
947,28817,30076,OD,SA
948,31618,32380,PE,BC
949,33722,34317,CG,CP
950,33398,33845,AF,CM
951,32710,34045,SP,CP
952,66734,68546,PE,OR
953,50983,51682,RA,SA
954,27211,27754,AF,RB
955,34724,36510,OR,CU
956,36292,36661,SP,TP
957,31480,32497,TP,RM
958,62029,63762,AE,PA
959,64587,66297,CM,CS
960,43377,43833,RE,SP
961,34561,34913,RE,MP
962,43096,43544,AL,CG
963,62914,63519,RE,SP
964,65948,66680,PI,CU
965,61335,62625,AV,PO
966,30678,31673,MP,CR
967,79523,80762,PI,OD
968,26692,27743,IN,CH
969,29748,30632,CM,SS
970,62159,65747,CG,RO
971,55862,56826,BC,AH
972,34885,35701,CG,MM
973,72871,74050,PI,SR
974,49063,50381,MP,AF
975,58425,59133,JZ,RE
976,32825,33579,SP,MP
977,27764,29008,PO,PA
978,32282,32840,SA,CG
979,66290,67074,BC,SP
980,49920,50452,BC,TP
981,60441,61374,AM,CS
982,63214,64399,AL,CS
983,66713,67949,OD,EC
984,66660,67868,SR,SA
985,79279,80781,CG,CS
986,69823,71084,CU,IN
987,56295,57091,BV,EC
